,knn_shape,knn_color,baysian_shape,baysian_color,majority
264,124,187,34,97,174
265,136,184,35,93,169
266,126,183,38,96,165
267,136,192,36,93,169
268,128,183,38,93,168
269,138,190,36,98,171
270,133,184,35,101,172
271,123,187,35,93,167
272,131,189,34,93,160
273,122,187,33,92,164
274,133,184,35,94,164
275,140,195,42,96,169
276,126,185,37,95,159
277,131,186,35,92,159
278,138,185,39,93,173
279,134,187,32,98,165
280,127,191,33,98,170
281,135,197,33,92,171
282,133,185,41,92,172
283,138,186,35,92,163
284,120,191,40,97,164
285,135,188,36,97,166
286,140,180,36,94,163
287,141,183,34,96,165
288,124,184,34,92,163
289,136,186,36,95,160
290,132,188,39,94,165
291,128,190,38,94,164
292,125,186,35,93,166
293,124,189,33,93,171
294,128,191,38,94,169
295,146,182,37,98,174
296,134,187,34,93,172
297,139,189,36,94,170
298,136,194,34,97,169
299,128,181,36,94,162
